Chinese,Pinyin,English
水,shuǐ,water
咖啡,kā fēi,coffee
和,hé,and
的,de,of
茶,chá,tea
奶茶,nǎi chá,milk tea
绿茶,lǜ chá,green tea
米饭,mǐfàn,rice
饭馆,fàn guǎn,resturant
汤,tāng,soup
热,rè,hot
这是,zhèshì,this is
这,zhè,this
这里,zhèlǐ,here
哪里,nǎlǐ,where
在,zài,is (where) / in
是,shì,is (what)
还是,háishì,or
粥,zhōu,porridge
豆腐,dòufu,tofu
美国,měiguó,America
英文,yīngwén,English
英国,yīngguó,UK
李天美,lǐ tiānměi,Li Tianmei
中国,zhōngguó,China
中文,zhōngwén,Chinese
中学生,zhōngxuéshēng,middle school student
日本,rì běn,Japan
我,wǒ,I
我叫,wǒjiào,my name is
我们,wǒmen,we
你,nǐ,you
你呢,nǐ ne,how about you
你好,nǐ hǎo,hello
你们,nǐ men,you all
韩国,hánguó,Korea
医生,yī shēng,doctor
学生,xuésheng,student
大学生,dàxuéshēng,college student
老师,lǎoshī,teacher
老公,lǎogōng,husband
老婆,lǎopó,wife
老家,lǎojiā,hometown
律师,lǜshī,lawyer
对,duì,correct
对不对,duìbuduì,is that correct
不,bù,no
不常,bùcháng,infrequently
不客气,búkèqi,You're welcome
说,shoū,speak
数学,shùxué,math
同学,tóngxué,classmate
喜欢,xǐ huān,like
课,kè,class
大,dà,big
加拿大,jiānádà,Canada
他,tā,he
她,tā,she
音乐,yīnyuè,music
爸爸,bàba,dad
儿子,ér zi,son
女儿,nǚér,daughter
好玩儿,hǎowán r,fun
房子,fáng zi,house
桌子,zhoū zi,table
妈妈,māma,mom
公园,gōngyuán,park
公寓,gōngyù,apartment
也,yě,also
去,qù,to go
常常,chángcháng,frequently
非常,fēicháng,extremely
书店,shūdiàn,bookstore
书,shū,book
超市,chāoshì,supermarket
菜,cài,cuisine / dish
吃,chī,to eat
买,mǎi,to buy
零食,língshí,snack
看,kàn,to read / watch / see
谢谢,xièxie,thanks
杯,bēi,cup of
要,yào,want to
牛奶,niúnǎi,milk
两,liǎng,two
冰,bīng,ice
冰箱,bīngxiāng,refridgerator
客厅,kètīng,living room
手机,shǒu jī,cellphone
洗手间,xǐ shǒujiān,bathroom
钱包,qiánbāo,wallet
房间,fángjiān,bedroom
火车站,huǒchēzhàn,train station
火车,huǒchē,train
车票,chēpiào,ticket
站台,zhàntái,platform
哎呀,āi yā,oh no
行李,xíng li,luggage
新,xīn,new
有,yǒu,have
王明,wángmíng,Wang Ming
今天,jīntiān,today
夏天,xiàtiān,summer
冬天,dōngtiān,winter
四,sì,four
历史,lì shǐ,history
真的吗,zhēndema,Really?
的时候,deshíhou,"(when, while, during)"
吗,ma,(question)
只,zhǐ,only
小,xiǎo,small
卧室,wòshì,bedroom
漂亮,piàoliang,beautiful
厨房,chúfáng,kitchen
沙发,shā fā,sofa
舒服,shū fu,comfortable
电视,diànshì,TV
床,chuáng,bed
旧,jiù,old
乱,luàn,messy
桌子,zhuō zi,table
北京,běijīng,Beijing
冷,lěng,cold
特别,tè bié,especially
故宫,gùgōng,Forbidden City
长城,chángchéng,Great Wall
秋天,qiūtiān,autumn
有名,yǒumíng,famous
人们,rénmen,people
门票,ménpiào,admission ticket
远,yuǎn,far
贵,guì,expensive
春天,chūntiān,spring
动物园,dòngwùyuán,zoo
辣,là,spicy
好吃,hǎochī,delicious
老家,lǎojiā,hometown
热闹,rènao,lively
火锅,huǒguō,hot pot
周末,zhoūmò,weekend
有空儿,yǒukòng r,availability
快,kuài,fast
公交车,gōngjiāo chē,bus
地铁,dìtiě,subway
坐,zuò,take the
爱情,àiqíng,love
电影,diànyǐng,movie
爆米花,bào mǐhuā,popcorn
一些,yīxiē,some
蛋糕,dàngāo,cake
水果,shuǐguǒ,fruit
果汁,guǒzhī,juice
带,dài,bring
饺子,jiǎozǐ,dumpling
做,zuò,make
晚饭,wǎnfàn,dinner
喝,hē,drink
好的,hǎo de,OK
博物馆,bówùguǎn,museum
看,kàn,watch
家,jiã,home
土豆,tǔ dòu,potato
先,xiān,first
西红柿,xī hóngshì,tomato
几,jǐ,several
盘子,pán zi,plate
小心,xiǎoxīn,be careful
放,fàng,add
蔬菜,shūcài,vegetable
肉,ròu,meat
爷爷,yéye,grandfather
多,duō,more
用,yòng,use
现在,xiànzài,now
冰淇淋,bīng qí lín,icecream
洗碗机,xǐ wǎn jī,dishwasher
碗,wǎn,bowl
做,zuò,make / do
做饭,zuòfàn,cook
吃饭,chīfàn,eat
杯子,bēi zi,cup
洗,xǐ,wash
手,shǒu,hand
别,bié,don't
玩,wán,play
十,shí,ten
俱乐部,jù lè bù,club
一起,yì qǐ,together
会,huì,can (know how to)
足球,zúqiú,soccer
吉他,zí tā,guitar
歌,gē,sing
唱歌,chànggē,sing
流行,liúxíng,pop / popular
钢琴,gāngqín,piano
练习,liàn xí,practice
语言,yǔyán,language
法语,fǎyǔ,French
西班牙语,xībānyáyǔ,Spanish
面包,miànbāo,bread
面条,miàntiào,noodle
饼干,bǐnggān,cookie
人,rén,person
有趣,yǒuqù,interesting
棒球,bàngqiú,baseball
泰国,tàiguó,Thailand
节,jiè,period
巧克力,qiǎokè lì,chocolate
健康,jiànkāng,healthy
想,xiǎng,want
可爱,kě ài,adorable
可以,kě yǐ,can (be able to)
可乐,kě lè,cola
兔子,tù zi,rabbit
狗,gǒu,dog
出去玩儿,chūqùwán r,go out have fun
朋友,péngyou,friend
姐姐,jiějie,sister
可以,kě yǐ,can
商场,shāngchǎng,mall
哥哥,gēge,brother
电脑,diànnǎo,computer
借,jiè,borrow
游戏,yóu xì,game
休息,xiū xi,rest
扫,sǎo,sweep
不行,bùxíng,no
玩具,wán jù,toy
地,dì,floor
很,hěn,is (very)
个,gè,(measure word)
还,hái,still
邻居,lín jū,neighbor
找,zhǎo,find
地方,dì fang,place
那,nà,that
那些,nàxiē,those
台灯,táidēng,lamp
重,chóng,heavy
椅子,yǐ zi,chair
书架,shūjià,bookshelf
衣服,yī fu,clothes
勺子,shào zi,spoon
都,dōu,all
拖把,tuōbǎ,mop
东西,dōng xi,thing
吸尘器,xī chén qì,vacuum cleaner
脏,zāng,dirty
室友,shìyǒu,roommate
地方,dì fang,place
帽子,mào zi,hat
筷子,kuài zi,chopsticks
好看,hǎokàn,beautiful
这些,zhèxiē,these
打扫,dǎsǎo,clean
妹妹,mèimei,sister
星期六,xīng qī liù,Saturday
早饭,zǎofàn,breakfast
报纸,bàozhǐ,newspaper
帮助,bāngzhù,help
忙,máng,busy
睡觉,shuìjiào,sleep
睡,shuì,sleep
干净,gānjìng,clean
需要,xūyào,need
听,tīng,hear
小提琴,xiǎo tí qín,violin
上网,shàngwǎng,access the internet
喂,wéi,hello
什么,shénme,what
飞盘,fēipán,frisbee
女孩儿,nǚhái r,girl
卖,mài,sell
是我,shìwǒ,It's me
他们,tā men,they
发烧,fā shāo,fever
跟,gēn,with
医院,yī yuàn,hospital
肚子,dù zi,abdomen
昨天,zuótiān,yesterday
头,tóu,head
疼,téng,painful
药店,yàodiàn,pharmacy
药,yào,medicine
假,jiǎ,leave
下午,xiàwǔ,afternoon
开心,kāixīn,happy
来,lái,come
束,shù,bouquet
应该,yīnggāi,should
煮,zhǔ,boil
体温,tǐ wēn,temperature
少,shǎo,less
不舒服,bù shū fu,uncomfortable
早上,zǎoshang,morning
邀请,yāoqǐng,invite
礼物,lǐ wù,gift
饮料,yǐnliào,drink
准备,zhǔnbèi,prepare
五,wǔ,five
种,zhǒng,type / kind
告诉,gàosu,tell
鱼,yú,fish
薯片,shǔpiàn,chips
围巾,wéijīn,a scarf
项链,xiàngliàn,necklace
星期天,xīng qī tiān,Sunday
明天,míngtiān,tomorrow
生日,shēng rì,birthday
派对,pàiduì,party
下,xià,next
惊喜,jīng xǐ,surprise
奶奶,nǎinai,grandmother
气球,qì qiú,balloon
领带,lǐngdài,tie
快乐,kuài lè,happy
学校,xuéxiào,school
校园,xiàoyuán,campus
旁边,pángbiān,beside
图书馆,tú shūguǎn,library
请问,qǐngwèn,excuse me
外面,wàimian,outside
参观,cānguān,visit
参加,cānjiā,participate
操场,cāochǎng,playground
高,gāo,tall
后面,hòumiàn,behind
前面,qiánmiàn,front
宿舍,sùshè,dormitory
食堂,shítáng,caffeteria
停车场,tíngchēchǎng,parking lot
安静,ānjìng,quiet
游泳池,yóuyǒngshí,swimming pool
活动,huódòng,event
体育馆,tǐ yùguǎn,gymnasium
里面,lǐ miàn,inside
地铁站,dì tiě zhàn,subway station
教学楼,jiào xué lóu,teacher building
真,zhēn,really
六,liù,six
晚上,wǎn shang,evening
请进,qǐng jìn,please come in
西瓜,xī guā,watermelon
苹果,píng guǒ,apple
照片,zhào piàn,photo
聪明,cōng ming,intelligent
猫,māo,cat
弟弟,dì di,younger brother
鸡肉,jī ròu,chicken
新鲜,xīn xiān,fresh
节目,jié mù,program
书房,shū fáng,study
亮,liàng,bright
动画片,dòng huà piàn,cartoon
家人,jiā rén,family
好喝,hǎo hē,delicious
好听,hǎo tīng,pleasant to listen to
没有,méi yǒu,don't have
鸡肉,jī ròu,chicken
牛肉,niú ròu,beef
玉米,yù mǐ,corn
歌,gē,song
歌手,gē shǒu,singer
上海,shàng hǎi,Shanghai
很多,hěn duō,a lot of
年,nián,year
香港,xiāng gǎng,Hong Kong
工作,gōng zuò,job
旅行,lǚ xíng,travel
回,huí,return
岁,suì,years old
出生,chū shēng,was born in
出国,chū guó,travel abroad
生活,shēng huó,live
长大,zhǎng dà,grow up
小学,xiǎo xué,elementary school
小时候,xiǎo shí hou,when I was younger
中学,zhōng xué,middle school
前,qián,before
桌游,zhuō yóu,board game
电话,diàn huà,make a phone call
有事儿,yǒu shì r,busy
加入,jiā rù,join
爬山,pá shān,hiking
复习,fù xí,review
考,kǎo,test
紧张,jǐn zhāng,nervous
加油,jiā yóu,Keep it up
后天,hòu tiān,day after tomorrow
天气,tiān qì,weather
学,xué,learn
乒乓球,pīng pāng qiú,ping pong
老朋友,lǎo péng you,old friend
外地,wài dì,out of town
钓鱼,diào yú,to fish / fishing
好,hǎo,good
好啊,hǎo ā,sure
星期,xīng qī,week
脸,liǎn,face
几点,jǐ diǎn,what time
到,dào,reach / arrive
十二,shí èr,twelve
二十,èr shí,twenty
出租车,chū zū chē,taxi
别着急,bié zhāo jí,don't worry
护照,hù zhào,passport
酒店,jiǔ diàn,hotel
纽约,niǔ yuē,New York
机场,jī chǎng,airport
飞机,fēi jī,plane
出发,chū fā,depart
起飞,qǐ fēi,take off
上午,shàng wǔ,in the morning
对面,duì miàn,across from
公交站,gōng jiāo zhàn,bus stop
哪里,nà li,there
双,shuāng,pair
鞋,xié,shoe
硬,yìng,hard
试衣间,shì yī jiān,fitting room
厚,hòu,thick
连衣裙,lián yī qún,dress
裤子,kù zi,pants
白色,bái sè,white
黑色,hēi sè,black
牌子,pái zi,brand
便宜,pián yi,cheap
皮带,pí dài,belt
饿,è,hungry
渴,kē,thirsty
袜子,wà zi,sock
车,chē,car
手套,shǒu tào,glove
有点儿,yǒu diǎn r,a little
紧,jǐn,tight
长,zhǎng,long
计划,jì huà,plan
难,nán,difficult
演唱会,yǎn chàng huì,concert
举行,jǔ xíng,hold
等,děng,wait
入口,rù kǒu,entrance
纪念品,jì niàn pǐn,souvenir
座位,zuò wèi,seat
开始,kāi shǐ,start
那些,nǎ xiē,which
国外,guó wài,abroad
城市,chéng shì,city
假期,jià qī,holiday
运动,yùn dòng,exercise / sport
票,piào,ticket
售票处,shòu piào chù,ticket office
网上,wǎng shàng,online
停车,tíng chē,parking / park
公司,gōng sī,company
衬衫,chèn shān,shirt
穿,chuān,wear
办公室,bàn gōng shì,office
会议室,huì yì shì,meeting room
层,céng,floor
赵小月,zhào xiǎo yuè,Zhao Xiaoyue
欢迎,huān yíng,welcome
谁,shéi,who
经理,līng lǐ,manager
老板,lǎo bǎn,boss
订,dìng,book (an appointment)
哪,nǎ,which
早上好,zǎo shang hǎo,good morning
会,huì,meeting
同事,tóng shì,colleague
先生,xiān sheng,Mr.
热情,rè qíng,enthusiastic
重要,zhòng yào,important
点菜,diǎn cài,order food
点,diǎn,order food
今晚,jīn wǎn,tonight
酒,jiǔ,alcohol
刚刚,gāng gang,just
不知道,bù zhī dao,not know
丢,diū,lose
雨伞,yǔ sǎn,umbrella
名字,míng zi,name
身份证,shēn fèn zhèng,ID card
蓝色,lán sè,blue
叫,jiào,call
好像,hǎo xiàng,seem
词典,cí diǎn,dictionary
发现,fā xiàn,find
书包,shū bāo,backpack
小姐,xiǎo jiě,Miss
红色,hóng sè,red
绿色,lǜ sè,green
张华,zhāng huá,Zhang Hua
张,zhāng,Zhang
水杯,shuǐ bēi,water bottle
本,běn,measure word for books
还,hái,return
聊天,liáo tiān,chat
无聊,wú liáo,boring
最,zuì,most
家务,jiā wù,housework
怕,pà,afraid
危险,wēi xiǎn,dangerous
蜘蛛,zhī zhū,spider
沙拉,shā lā,salad
四川,sì chuān,Sichuan
写,xiě,write
汉字,hàn zì,Chinese characters
容易,róng yì,easy
小说,xiǎo shuō,novel
天呐,tiān nà,oh my
快餐,kuài cān,fast food
红茶,hóng chá,black tea
日语,rì yǔ,Japanese
预报,yù bào,forecast
怎么样,zěn me yàng,how is the weather
戴,dài,wear
太,tài,too
晴天,qíng tiān,sunny day
暖和,nuǎn huo,warm
毛衣,máo yī,sweater
记得,jì de,remember
有风,yǒu fēng,windy
关,guān,close
今年,jīn nián,this year
大衣,dà yī,coat
雨衣,yǔ yī,rain coat
海边,hǎi biān,beach
咖啡馆,kā fēi guǎn,cafe
有雨,yǒu yǔ,rain
门,mén,door
男朋友,nán péng you,boyfriend
厉害,lì hai,impressive
住在,zhù zài,live
农村,nóng cūn,countryside
麻将,má jiàng,mahjong
太棒了,tài bàng le,great
小,xiǎo,young
多大,duō dà,how old
好朋友,hǎo péng you,good friend
爱好,ài hào,hobby
女朋友,nǚ péng you,girlfriend
电视剧,diàn shì jù,TV series
不同,bù tóng,different
太棒了,tài bàng le,great
新闻,xīn wén,news
每天,měi tiān,every day
骑,qí,ride
自行车,zì xíng chē,bicycle
有时候,yǒu shí hou,sometimes
钥匙,yào shi,key
漫画,màn huà,comic
起床,qǐ chuáng,get up
一边,yì biān,while
方便,fāng biàn,convenient
日记,rì jì,diary
作家,zuò jiā,writer
睡觉,shuì jiào,go to bed
晚安,wǎn ān,good night
换,huàn,exchange
然后,rán hòu,then
吗上,mǎ shàng,soon
接,jiē,pick up
辣椒,là jiāo,chili pepper
汽水,qì shuǐ,soda
没问题,wéi wèn tí,No problem
困,kùn,sleepy
作业,zuò yè,homework
鸡蛋,jī dàn,egg
快,kuài,quickly
然后,rán hòu,then
时间,shí jiān,time
午饭,wǔ fàn,lunch
帮,bāng,help
外卖,wài mài,takeout
点,diǎn,order
早点儿,zǎo diǎn ér,earlier
不错,bú cuò,good
账号,zhàng hào,account
号,hào,number
手表,shǒu biǎo,watch
百,bǎi,hundred
时尚,shí shàng,fashionable
快,kuài,dollar
折,zhé,discount
信用卡,xìn yòng kǎ,credit card
一共,yí gòng,altogether
慢,màn,slow
订单,dìng dān,order
退,tuì,return
家具,jiā jù,furniture
怎么样,zěn me yàng,how about (that)
网站,wǎng zhàn,website
网,wǎng,internet
包,bāo,bag
运动鞋,yùn dòng xié,sneaker
多少钱,duō shǎo qián,how much
服务,fú wù,service
